                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.44213,                0.53728,                0.60158,                0.86539,                0.89924,                0.60241,                0.71893,                0.62378,                0.86104,                0.60241,                0.69493,                0.53155,                0.79873,                  2.886,                 1.2883,                 1.0762,              0.0008714,              0.0008714,              0.0008714
                     60,                0.49168,                0.65909,                0.72137,                0.86941,                0.77918,                 0.6988,                0.72956,                0.62224,                0.83584,                0.61446,                0.69626,                0.53367,                0.81788,                 2.9395,                  1.271,                  1.077,              0.0008516,              0.0008516,              0.0008516
                     61,                0.50531,                0.64371,                0.61545,                0.88064,                0.85898,                0.66054,                0.72496,                0.60392,                0.84843,                 0.6506,                0.69557,                0.53423,                0.82616,                 2.9608,                 1.2461,                 1.0748,              0.0008318,              0.0008318,              0.0008318
                     62,                0.47789,                0.55086,                0.60613,                0.88625,                 0.8656,                 0.6988,                0.72938,                0.60829,                0.85068,                0.68675,                0.69621,                0.53534,                 0.8166,                 3.0566,                 1.1766,                 1.0769,               0.000812,               0.000812,               0.000812
                     63,                0.51284,                0.56377,                0.61084,                0.91405,                0.82157,                0.71084,                0.75921,                0.63131,                0.84036,                0.69768,                0.71984,                0.54393,                0.80144,                 3.0928,                  1.098,                 1.0658,              0.0007922,              0.0007922,              0.0007922
                     64,                0.50516,                0.61864,                0.55747,                0.86422,                0.85711,                0.72268,                0.77532,                0.63953,                0.85441,                 0.6988,                0.73442,                0.54902,                0.79084,                 3.1554,                  1.053,                  1.056,              0.0007724,              0.0007724,              0.0007724
                     65,                0.46163,                0.53453,                0.63412,                0.87062,                0.83122,                0.72289,                0.77663,                0.64175,                0.84411,                0.66265,                 0.7217,                0.54452,                 0.7761,                 3.1286,                   1.03,                 1.0283,              0.0007526,              0.0007526,              0.0007526
                     66,                0.47681,                0.64371,                0.64139,                0.85655,                0.81098,                 0.6988,                0.76363,                0.63396,                0.87691,                0.62651,                 0.7149,                0.54128,                0.80044,                 3.0894,                 1.0851,                 1.0507,              0.0007328,              0.0007328,              0.0007328
                     67,                0.49001,                0.62574,                0.59839,                 0.8951,                0.86253,                0.63855,                0.75501,                0.63859,                0.84625,                0.62651,                0.69948,                0.53341,                  0.778,                 3.0133,                 1.1425,                 1.0581,               0.000713,               0.000713,               0.000713
                     68,                0.48562,                0.57735,                0.56263,                0.88094,                0.84729,                0.60162,                0.72064,                0.60735,                0.83036,                0.58975,                0.67521,                0.51825,                 0.7926,                 2.9418,                 1.2606,                 1.0667,              0.0006932,              0.0006932,              0.0006932
